Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Greater Western Sydney,Sydney,ANZ Stadium,1,1,0,0,1500,1500,L
2012,Sydney,Greater Western Sydney,ANZ Stadium,1,1,0,0,1500,1500,W
2012,Carlton,Richmond,MCG,1,1,0,0,1500,1500,W
2012,Richmond,Carlton,MCG,1,1,0,0,1500,1500,L
2012,Collingwood,Hawthorn,MCG,1,1,0,0,1500,1500,L
2012,Hawthorn,Collingwood,MCG,1,1,0,0,1500,1500,W
2012,Brisbane Lions,Melbourne,MCG,1,1,0,1,1500,1500,W
2012,Melbourne,Brisbane Lions,MCG,1,1,1,0,1500,1500,L
2012,Adelaide,Gold Coast,Metricon Stadium,1,1,0,1,1500,1500,W
2012,Gold Coast,Adelaide,Metricon Stadium,1,1,1,0,1500,1500,L
2012,Fremantle,Geelong,Patersons Stadium,1,1,1,0,1500,1500,W
2012,Geelong,Fremantle,Patersons Stadium,1,1,0,1,1500,1500,L
2012,Essendon,North Melbourne,Etihad Stadium,1,1,0,0,1500,1500,W
2012,North Melbourne,Essendon,Etihad Stadium,1,1,0,0,1500,1500,L
2012,West Coast,Western Bulldogs,Etihad Stadium,1,1,0,1,1500,1500,W
2012,Western Bulldogs,West Coast,Etihad Stadium,1,1,1,0,1500,1500,L
2012,Port Adelaide,St Kilda,AAMI Stadium,1,1,1,0,1500,1500,W
2012,St Kilda,Port Adelaide,AAMI Stadium,1,1,0,1,1500,1500,L
2012,Brisbane Lions,Carlton,The Gabba,2,2,1,0,1532.74437,1526.81653,L
2012,Carlton,Brisbane Lions,The Gabba,2,2,0,1,1526.81653,1532.74437,W
2012,Essendon,Port Adelaide,Etihad Stadium,2,2,1,0,1526.81653,1520.88869,W
2012,Port Adelaide,Essendon,Etihad Stadium,2,2,0,1,1520.88869,1526.81653,L
2012,Fremantle,Sydney,SCG,2,2,0,1,1520.88869,1526.81653,L
2012,Sydney,Fremantle,SCG,2,2,1,0,1526.81653,1520.88869,W
2012,Melbourne,West Coast,Patersons Stadium,2,2,0,1,1467.25563,1532.74437,L
2012,West Coast,Melbourne,Patersons Stadium,2,2,1,0,1532.74437,1467.25563,W
2012,Adelaide,Western Bulldogs,AAMI Stadium,2,2,1,0,1532.74437,1467.25563,W
2012,Western Bulldogs,Adelaide,AAMI Stadium,2,2,0,1,1467.25563,1532.74437,L
2012,Collingwood,Richmond,MCG,2,2,0,0,1473.18347,1473.18347,W
2012,Richmond,Collingwood,MCG,2,2,0,0,1473.18347,1473.18347,L
2012,Greater Western Sydney,North Melbourne,Blundstone Arena,2,2,0,0,1473.18347,1473.18347,L
2012,North Melbourne,Greater Western Sydney,Blundstone Arena,2,2,0,0,1473.18347,1473.18347,W
2012,Gold Coast,St Kilda,Etihad Stadium,2,2,0,1,1467.25563,1479.11131,L
2012,St Kilda,Gold Coast,Etihad Stadium,2,2,1,0,1479.11131,1467.25563,W
2012,Geelong,Hawthorn,MCG,2,2,0,0,1479.11131,1526.81653,W
2012,Hawthorn,Geelong,MCG,2,2,0,0,1526.81653,1479.11131,L
2012,Carlton,Collingwood,MCG,3,3,0,0,1559.994401,1500,W
2012,Collingwood,Carlton,MCG,3,3,0,0,1500,1559.994401,L
2012,Melbourne,Richmond,MCG,3,3,0,0,1450.930573,1446.36694,L
2012,Richmond,Melbourne,MCG,3,3,0,0,1446.36694,1450.930573,W
2012,Port Adelaide,Sydney,AAMI Stadium,3,3,1,0,1500.433501,1547.271718,L
2012,Sydney,Port Adelaide,AAMI Stadium,3,3,0,1,1547.271718,1500.433501,W
2012,Brisbane Lions,Fremantle,Patersons Stadium,3,3,0,1,1499.566499,1500.433501,L
2012,Fremantle,Brisbane Lions,Patersons Stadium,3,3,1,0,1500.433501,1499.566499,W
2012,St Kilda,Western Bulldogs,Etihad Stadium,3,3,0,0,1499.136492,1450.930573,W
2012,Western Bulldogs,St Kilda,Etihad Stadium,3,3,0,0,1450.930573,1499.136492,L
2012,Essendon,Gold Coast,Metricon Stadium,3,3,0,1,1547.271718,1447.230449,W
2012,Gold Coast,Essendon,Metricon Stadium,3,3,1,0,1447.230449,1547.271718,L
2012,Greater Western Sydney,West Coast,Blacktown ISP,3,3,1,0,1446.36694,1549.069427,L
2012,West Coast,Greater Western Sydney,Blacktown ISP,3,3,0,1,1549.069427,1446.36694,W
2012,Adelaide,Hawthorn,MCG,3,3,0,1,1549.069427,1496.340878,L
2012,Hawthorn,Adelaide,MCG,3,3,1,0,1496.340878,1549.069427,W
2012,Geelong,North Melbourne,Etihad Stadium,3,3,0,0,1509.586962,1500,L
2012,North Melbourne,Geelong,Etihad Stadium,3,3,0,0,1500,1509.586962,W
2012,Fremantle,St Kilda,Etihad Stadium,4,4,0,1,1521.258578,1522.255981,W
2012,St Kilda,Fremantle,Etihad Stadium,4,4,1,0,1522.255981,1521.258578,L
2012,Carlton,Essendon,MCG,4,4,0,0,1582.225795,1572.396222,L
2012,Essendon,Carlton,MCG,4,4,0,0,1572.396222,1582.225795,W
2012,Collingwood,Port Adelaide,Etihad Stadium,4,4,1,0,1477.768606,1471.2113,W
2012,Port Adelaide,Collingwood,Etihad Stadium,4,4,0,1,1471.2113,1477.768606,L
2012,Adelaide,Greater Western Sydney,AAMI Stadium,4,4,1,0,1524.206944,1421.44692,W
2012,Greater Western Sydney,Adelaide,AAMI Stadium,4,4,0,1,1421.44692,1524.206944,L
2012,Brisbane Lions,Gold Coast,The Gabba,4,4,1,0,1478.741422,1422.105945,W
2012,Gold Coast,Brisbane Lions,The Gabba,4,4,0,1,1422.105945,1478.741422,L
2012,Hawthorn,West Coast,Patersons Stadium,4,4,0,1,1521.203362,1573.989447,L
2012,West Coast,Hawthorn,Patersons Stadium,4,4,1,0,1573.989447,1521.203362,W
2012,Geelong,Richmond,Simonds Stadium,4,4,1,0,1482.030658,1473.53569,W
2012,Richmond,Geelong,Simonds Stadium,4,4,0,1,1473.53569,1482.030658,L
2012,North Melbourne,Sydney,SCG,4,4,0,1,1527.556304,1576.49392,L
2012,Sydney,North Melbourne,SCG,4,4,1,0,1576.49392,1527.556304,W
2012,Melbourne,Western Bulldogs,MCG,4,4,0,0,1423.761823,1427.811084,L
2012,Western Bulldogs,Melbourne,MCG,4,4,0,0,1427.811084,1423.761823,W
2012,Collingwood,Essendon,MCG,5,5,0,0,1498.177964,1599.971237,W
