,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
1,Adelaide,2012,1,Gold Coast,69,Carrara,137,18.45454545,11.45454545,4.954545455,7,0.863636364,1.909090909,3.318181818,1.272727273,3.318181818,1.772727273,2.136363636,6.909090909,11.31818182,0.454545455,0.727272727,0.681818182,1.909090909,69,137,W,2,Western Bulldogs,Football Park,W
2,Adelaide,2012,2,Western Bulldogs,18,Football Park,82,16.36363636,9.772727273,4.636363636,6.590909091,0.5,1.863636364,2.409090909,1.545454545,2.227272727,1.5,1.727272727,6.409090909,9.863636364,0.727272727,0.590909091,0.272727273,2.454545455,87,219,W,3,Hawthorn,M.C.G.,L
3,Adelaide,2012,3,Hawthorn,-56,M.C.G.,84,13.81818182,7.727272727,2.363636364,6.090909091,0.545454545,1.545454545,2.318181818,1.045454545,2.227272727,1.727272727,2,6.772727273,7.090909091,0.5,0.454545455,0.409090909,1.363636364,31,303,L,4,Greater Western Sydney,Football Park,W
4,Adelaide,2012,4,Greater Western Sydney,46,Football Park,96,16.81818182,10.22727273,1.863636364,6.590909091,0.590909091,2.136363636,3.454545455,1.090909091,2.545454545,2.363636364,2.818181818,8.727272727,7.272727273,0.136363636,0.363636364,0.454545455,2.636363636,77,399,W,5,Port Adelaide,Football Park,W
5,Adelaide,2012,5,Port Adelaide,19,Football Park,110,16.31818182,10.04545455,4.318181818,6.272727273,0.727272727,2.045454545,2.954545455,1.454545455,2.772727273,1.681818182,2.227272727,6.272727273,9.863636364,0.545454545,0.545454545,0.409090909,1.090909091,96,509,W,6,Sydney,S.C.G.,W
6,Adelaide,2012,6,Sydney,5,S.C.G.,99,16.45454545,9.909090909,3.545454545,6.545454545,0.681818182,3.181818182,2.863636364,2.181818182,2.045454545,1.954545455,2.090909091,7.454545455,8.363636364,0.545454545,0.409090909,0.545454545,2.545454545,101,608,W,7,Geelong,Football Park,W
7,Adelaide,2012,7,Geelong,50,Football Park,122,16.59090909,10.18181818,4.227272727,6.409090909,0.863636364,2.181818182,2.954545455,1.772727273,2.136363636,1.954545455,1.454545455,6.727272727,9.636363636,0.772727273,0.636363636,0.590909091,1.454545455,151,730,W,8,Carlton,Docklands,W
8,Adelaide,2012,8,Carlton,69,Docklands,124,15.68181818,10.45454545,5,5.227272727,0.863636364,2.454545455,3.045454545,1.409090909,2.272727273,2.181818182,1.090909091,6.863636364,9.136363636,0.636363636,0.590909091,0.636363636,2.409090909,220,854,W,9,Collingwood,Football Park,L
9,Adelaide,2012,9,Collingwood,-26,Football Park,49,14.72727273,9.318181818,3.136363636,5.409090909,0.272727273,2.090909091,3.5,1.545454545,2.227272727,1.681818182,1.409090909,7.272727273,7.090909091,0.681818182,0.272727273,0.227272727,2.272727273,194,903,L,10,Fremantle,Subiaco,W
10,Adelaide,2012,10,Fremantle,29,Subiaco,111,15.95454545,9.772727273,3.863636364,6.181818182,0.772727273,1.545454545,2.636363636,1.318181818,2.181818182,2.363636364,1.863636364,7.045454545,9.136363636,0.5,0.545454545,0.636363636,2.590909091,223,1014,W,12,St Kilda,Football Park,W
11,Adelaide,2012,12,St Kilda,4,Football Park,115,16.95454545,10.18181818,3.954545455,6.772727273,0.772727273,2.863636364,2.681818182,1.590909091,2.545454545,1.636363636,2.090909091,7.545454545,9.409090909,0.590909091,0.681818182,0.545454545,1.772727273,227,1129,W,13,North Melbourne,Docklands,L
12,Adelaide,2012,13,North Melbourne,-32,Docklands,89,13,8.727272727,4.363636364,4.272727273,0.590909091,1.636363636,1.909090909,1.636363636,1.954545455,1.409090909,1.772727273,5.227272727,7.772727273,0.5,0.636363636,0.409090909,2.5,195,1218,L,14,Richmond,Football Park,W
13,Adelaide,2012,14,Richmond,19,Football Park,106,15.09090909,8.954545455,3.5,6.136363636,0.772727273,1.954545455,2.636363636,1.772727273,2.136363636,1.909090909,2.545454545,6.818181818,8.272727273,0.818181818,0.590909091,0.363636364,2.227272727,214,1324,W,15,Port Adelaide,Football Park,W
14,Adelaide,2012,15,Port Adelaide,58,Football Park,116,16.45454545,11.09090909,4.772727273,5.363636364,0.772727273,2.909090909,2.727272727,1.136363636,2.681818182,2.181818182,1.636363636,6.636363636,10.09090909,0.636363636,0.909090909,0.636363636,2.727272727,272,1440,W,16,Greater Western Sydney,Sydney Showground,W
15,Adelaide,2012,16,Greater Western Sydney,119,Sydney Showground,178,17.18181818,10.77272727,5.590909091,6.409090909,1.227272727,1.363636364,1.818181818,1.454545455,3.090909091,1.863636364,2.409090909,6.590909091,10.31818182,0.818181818,1.272727273,1.045454545,1.681818182,391,1618,W,17,West Coast,Football Park,W
16,Adelaide,2012,17,West Coast,49,Football Park,124,17.59090909,10.68181818,4.454545455,6.909090909,0.863636364,1.090909091,2.363636364,1.363636364,2.454545455,1.772727273,2,6.954545455,10.77272727,0.318181818,0.681818182,0.590909091,1.681818182,440,1742,W,18,Geelong,Kardinia Park,L
